skill_index,skill_name,target_def,target_res,attack_count,per_hit_raw,per_hit_eff,total_raw,total_eff,dps_eff,cycle_dps_eff
0,冲锋模式,0,0,1,783.0,783.0,2349,2349,,
0,冲锋模式,0,20,1,783.0,783.0,2349,2349,,
0,冲锋模式,0,40,1,783.0,783.0,2349,2349,,
0,冲锋模式,200,0,1,783.0,583.0,2349,1749,,
0,冲锋模式,200,20,1,783.0,583.0,2349,1749,,
0,冲锋模式,200,40,1,783.0,583.0,2349,1749,,
0,冲锋模式,400,0,1,783.0,383.0,2349,1149,,
0,冲锋模式,400,20,1,783.0,383.0,2349,1149,,
0,冲锋模式,400,40,1,783.0,383.0,2349,1149,,
0,冲锋模式,600,0,1,783.0,183.0,2349,549,,
0,冲锋模式,600,20,1,783.0,183.0,2349,549,,
0,冲锋模式,600,40,1,783.0,183.0,2349,549,,
0,冲锋模式,800,0,1,783.0,39.2,2349,117,,
0,冲锋模式,800,20,1,783.0,39.2,2349,117,,
0,冲锋模式,800,40,1,783.0,39.2,2349,117,,
1,扫射模式,0,0,15,675.0,675.0,40500,40500,2700.0,1620.0
1,扫射模式,0,20,15,675.0,675.0,40500,40500,2700.0,1620.0
1,扫射模式,0,40,15,675.0,675.0,40500,40500,2700.0,1620.0
1,扫射模式,200,0,15,675.0,475.0,40500,28500,1900.0,1140.0
1,扫射模式,200,20,15,675.0,475.0,40500,28500,1900.0,1140.0
1,扫射模式,200,40,15,675.0,475.0,40500,28500,1900.0,1140.0
1,扫射模式,400,0,15,675.0,275.0,40500,16500,1100.0,660.0
1,扫射模式,400,20,15,675.0,275.0,40500,16500,1100.0,660.0
1,扫射模式,400,40,15,675.0,275.0,40500,16500,1100.0,660.0
1,扫射模式,600,0,15,675.0,75.0,40500,4500,300.0,180.0
1,扫射模式,600,20,15,675.0,75.0,40500,4500,300.0,180.0
1,扫射模式,600,40,15,675.0,75.0,40500,4500,300.0,180.0
1,扫射模式,800,0,15,675.0,33.8,40500,2025,135.0,81.0
1,扫射模式,800,20,15,675.0,33.8,40500,2025,135.0,81.0
1,扫射模式,800,40,15,675.0,33.8,40500,2025,135.0,81.0
2,过载模式,0,0,16,594.0,594.0,47520,47520,3168.0,1900.8
2,过载模式,0,20,16,594.0,594.0,47520,47520,3168.0,1900.8
2,过载模式,0,40,16,594.0,594.0,47520,47520,3168.0,1900.8
2,过载模式,200,0,16,594.0,394.0,47520,31520,2101.3,1260.8
2,过载模式,200,20,16,594.0,394.0,47520,31520,2101.3,1260.8
2,过载模式,200,40,16,594.0,394.0,47520,31520,2101.3,1260.8
2,过载模式,400,0,16,594.0,194.0,47520,15520,1034.7,620.8
2,过载模式,400,20,16,594.0,194.0,47520,15520,1034.7,620.8
2,过载模式,400,40,16,594.0,194.0,47520,15520,1034.7,620.8
2,过载模式,600,0,16,594.0,29.7,47520,2376,158.4,95.0
2,过载模式,600,20,16,594.0,29.7,47520,2376,158.4,95.0
2,过载模式,600,40,16,594.0,29.7,47520,2376,158.4,95.0
2,过载模式,800,0,16,594.0,29.7,47520,2376,158.4,95.0
2,过载模式,800,20,16,594.0,29.7,47520,2376,158.4,95.0
2,过载模式,800,40,16,594.0,29.7,47520,2376,158.4,95.0
