size,dps,skill,supports,def,combined,uplift,utility
4,能天使,过载模式,巫恋+初雪+华法琳,300,12037,3.139,0.0
4,能天使,过载模式,巫恋+初雪+华法琳,1200,12037,50.128,0.0
4,新约能天使,开火成瘾症,巫恋+初雪+华法琳,300,11745,1.869,0.0
4,新约能天使,开火成瘾症,巫恋+初雪+华法琳,1200,11745,3.527,0.0
4,能天使,过载模式,初雪+海蒂+华法琳,300,11057,2.802,0.0
4,新约能天使,开火成瘾症,初雪+灵知+华法琳,300,11001,1.687,0.0
4,新约能天使,开火成瘾症,初雪+海蒂+华法琳,300,10941,1.672,0.0
4,新约能天使,开火成瘾症,巫恋+灵知+华法琳,300,10921,1.667,0.0
4,新约能天使,开火成瘾症,凛御银灰+初雪+华法琳,300,10881,1.658,0.0
4,新约能天使,开火成瘾症,巫恋+海蒂+华法琳,300,10874,1.656,0.0
4,能天使,过载模式,巫恋+海蒂+华法琳,300,10818,2.719,0.0
4,新约能天使,开火成瘾症,凛御银灰+巫恋+华法琳,300,10802,1.638,0.0
4,能天使,过载模式,巫恋+初雪+海蒂,300,10775,2.705,0.0
4,能天使,过载模式,巫恋+初雪+海蒂,1200,10775,44.77,0.0
4,新约能天使,开火成瘾症,初雪+铃兰+华法琳,300,10726,1.62,0.0
4,新约能天使,开火成瘾症,巫恋+铃兰+华法琳,300,10648,1.601,0.0
4,灵知,失温症,巫恋+海蒂+华法琳,300,10487,1.652,0.0
4,灵知,失温症,初雪+海蒂+华法琳,300,10487,1.652,0.0
4,能天使,过载模式,初雪+灵知+华法琳,300,10450,2.593,0.0
4,新约能天使,开火成瘾症,初雪+海霓+华法琳,300,10382,1.536,6.0
4,能天使,过载模式,凛御银灰+初雪+华法琳,300,10336,2.554,0.0
4,新约能天使,开火成瘾症,巫恋+海霓+华法琳,300,10307,1.517,6.0
4,能天使,过载模式,初雪+铃兰+华法琳,300,10188,2.503,0.0
4,能天使,过载模式,巫恋+灵知+华法琳,300,10162,2.494,0.0
4,新约能天使,开火成瘾症,初雪+海蒂+华法琳,1200,10143,2.909,0.0
4,灵知,失温症,巫恋+初雪+华法琳,300,10109,1.556,0.0
4,百炼嘉维尔,丛林之魂,巫恋+初雪+华法琳,300,10108,1.92,0.0
4,百炼嘉维尔,丛林之魂,巫恋+初雪+华法琳,1200,10108,4.089,0.0
4,新约能天使,开火成瘾症,海蒂+灵知+华法琳,300,10066,1.458,0.0
4,能天使,过载模式,凛御银灰+巫恋+华法琳,300,10051,2.456,0.0
4,新约能天使,开火成瘾症,初雪+灵知+华法琳,1200,10041,2.87,0.0
4,领主·Sharp,沉默的爆发,巫恋+初雪+华法琳,300,10016,1.823,0.0
4,领主·Sharp,沉默的爆发,巫恋+初雪+华法琳,1200,10016,3.108,0.0
4,新约能天使,开火成瘾症,凛御银灰+灵知+华法琳,300,10012,1.445,0.0
4,新约能天使,开火成瘾症,初雪+濯尘芙蓉+华法琳,300,9970,1.435,4.5
4,新约能天使,开火成瘾症,凛御银灰+初雪+华法琳,1200,9932,2.828,0.0
4,新约能天使,开火成瘾症,凛御银灰+海蒂+华法琳,300,9928,1.425,0.0
4,涤火杰西卡,掩蔽护卫,巫恋+初雪+华法琳,300,9917,2.444,0.0
4,涤火杰西卡,掩蔽护卫,巫恋+初雪+华法琳,1200,9917,50.128,0.0
4,能天使,过载模式,巫恋+铃兰+华法琳,300,9908,2.406,0.0
4,新约能天使,开火成瘾症,巫恋+濯尘芙蓉+华法琳,300,9897,1.417,4.5
4,新约能天使,开火成瘾症,巫恋+海蒂+华法琳,1200,9877,2.807,0.0
4,灵知,失温症,凛御银灰+海蒂+华法琳,300,9877,1.498,0.0
4,新约能天使,开火成瘾症,巫恋+初雪+海蒂,300,9869,1.41,0.0
4,新约能天使,开火成瘾症,巫恋+初雪+海蒂,1200,9869,2.804,0.0
4,新约能天使,开火成瘾症,铃兰+灵知+华法琳,300,9863,1.409,0.0
4,能天使,过载模式,初雪+海霓+华法琳,300,9862,2.391,6.0
4,烛煌,众恶的焚场,巫恋+初雪+华法琳,300,9838,1.556,0.0
4,新约能天使,开火成瘾症,初雪+铃兰+华法琳,1200,9790,2.773,0.0
4,新约能天使,开火成瘾症,凛御银灰+铃兰+华法琳,300,9749,1.381,0.0
4,新约能天使,开火成瘾症,海蒂+铃兰+华法琳,300,9749,1.381,0.0
4,能天使,扫射模式,巫恋+初雪+华法琳,300,9727,2.852,0.0
4,能天使,扫射模式,巫恋+初雪+华法琳,1200,9727,50.128,0.0
4,新约能天使,开火成瘾症,巫恋+灵知+华法琳,1200,9721,2.747,0.0
4,涤火杰西卡,饱和迸射,初雪+海蒂+华法琳,300,9713,1.683,0.0
4,灵知,失温症,海蒂+铃兰+华法琳,300,9699,1.453,0.0
4,涤火杰西卡,饱和迸射,巫恋+海蒂+华法琳,300,9691,1.677,0.0
4,涤火杰西卡,饱和迸射,巫恋+初雪+华法琳,300,9681,1.674,0.0
4,涤火杰西卡,饱和迸射,巫恋+初雪+华法琳,1200,9681,2.103,0.0
4,灵知,失温症,凛御银灰+巫恋+华法琳,300,9638,1.437,0.0
4,灵知,失温症,凛御银灰+初雪+华法琳,300,9638,1.437,0.0
4,新约能天使,开火成瘾症,凛御银灰+巫恋+华法琳,1200,9615,2.706,0.0
4,能天使,过载模式,巫恋+海霓+华法琳,300,9590,2.297,6.0
4,艾拉,“博萨克风暴”,巫恋+初雪+华法琳,300,9547,2.046,0.0
4,艾拉,“博萨克风暴”,巫恋+初雪+华法琳,1200,9547,6.153,0.0
4,灵知,失温症,巫恋+初雪+海蒂,300,9544,1.414,0.0
4,新约能天使,开火成瘾症,海霓+灵知+华法琳,300,9535,1.329,6.0
4,烛煌,众恶的焚场,巫恋+海蒂+华法琳,300,9530,1.476,0.0
4,烛煌,众恶的焚场,初雪+海蒂+华法琳,300,9530,1.476,0.0
4,能天使,过载模式,初雪+极境+华法琳,300,9524,2.275,6.0
4,能天使,过载模式,初雪+引星棘刺+华法琳,300,9524,2.275,0.0
4,涤火杰西卡,掩蔽护卫,初雪+海蒂+华法琳,300,9509,2.303,0.0
4,灵知,失温症,巫恋+铃兰+华法琳,300,9500,1.402,0.0
4,灵知,失温症,初雪+铃兰+华法琳,300,9500,1.402,0.0
4,烛煌,众恶的焚场,巫恋+灵知+华法琳,300,9482,1.464,0.0
4,烛煌,众恶的焚场,初雪+灵知+华法琳,300,9482,1.464,0.0
4,新约能天使,开火成瘾症,巫恋+铃兰+华法琳,1200,9478,2.653,0.0
4,新约能天使,开火成瘾症,初雪+海霓+华法琳,1200,9476,2.652,6.0
4,能天使,过载模式,初雪+濯尘芙蓉+华法琳,300,9470,2.256,4.5
4,忍冬,隐狐之艺,巫恋+初雪+华法琳,300,9450,2.24,0.0
4,忍冬,隐狐之艺,巫恋+初雪+华法琳,1200,9450,15.393,0.0
4,涤火杰西卡,饱和迸射,初雪+海蒂+华法琳,1200,9447,2.028,0.0
4,百炼嘉维尔,丛林之魂,初雪+灵知+华法琳,300,9428,1.723,0.0
4,新约能天使,开火成瘾症,凛御银灰+海霓+华法琳,300,9420,1.301,6.0
4,领主·Sharp,沉默的爆发,初雪+灵知+华法琳,300,9418,1.654,0.0
4,烛煌,众恶的焚场,凛御银灰+巫恋+华法琳,300,9379,1.437,0.0
4,烛煌,众恶的焚场,凛御银灰+初雪+华法琳,300,9379,1.437,0.0
4,新约能天使,开火成瘾症,初雪+极境+华法琳,300,9377,1.29,6.0
4,新约能天使,开火成瘾症,初雪+引星棘刺+华法琳,300,9377,1.29,0.0
4,涤火杰西卡,掩蔽护卫,巫恋+海蒂+华法琳,300,9376,2.256,0.0
4,涤火杰西卡,饱和迸射,巫恋+海蒂+华法琳,1200,9359,1.999,0.0
4,领主·Sharp,沉默的爆发,巫恋+灵知+华法琳,300,9358,1.638,0.0
4,新约能天使,开火成瘾症,海霓+海蒂+华法琳,300,9353,1.284,6.0
4,百炼嘉维尔,丛林之魂,巫恋+灵知+华法琳,300,9349,1.7,0.0
4,百炼嘉维尔,丛林之魂,凛御银灰+初雪+华法琳,300,9326,1.694,0.0
4,领主·Sharp,沉默的爆发,凛御银灰+初雪+华法琳,300,9315,1.625,0.0
4,新约能天使,开火成瘾症,巫恋+极境+华法琳,300,9311,1.274,6.0
4,新约能天使,开火成瘾症,巫恋+引星棘刺+华法琳,300,9311,1.274,0.0
4,灵知,失温症,海霓+海蒂+华法琳,300,9304,1.353,6.0
4,能天使,过载模式,巫恋+极境+华法琳,300,9285,2.192,6.0
4,能天使,过载模式,巫恋+引星棘刺+华法琳,300,9285,2.192,0.0
4,新约能天使,开火成瘾症,初雪+极境+华法琳,1200,9277,2.576,6.0
4,新约能天使,开火成瘾症,初雪+引星棘刺+华法琳,1200,9277,2.576,0.0
4,新约能天使,开火成瘾症,海霓+铃兰+华法琳,300,9271,1.264,6.0
4,领主·Sharp,沉默的爆发,初雪+海蒂+华法琳,300,9268,1.612,0.0
4,领主·Sharp,沉默的爆发,凛御银灰+巫恋+华法琳,300,9257,1.609,0.0
4,百炼嘉维尔,丛林之魂,初雪+海蒂+华法琳,300,9251,1.672,0.0
4,百炼嘉维尔,丛林之魂,凛御银灰+巫恋+华法琳,300,9248,1.671,0.0
4,烛煌,众恶的焚场,巫恋+铃兰+华法琳,300,9245,1.402,0.0
4,烛煌,众恶的焚场,初雪+铃兰+华法琳,300,9245,1.402,0.0
4,能天使,过载模式,初雪+海蒂+灵知,300,9234,2.175,0.0
4,涤火杰西卡,饱和迸射,初雪+灵知+华法琳,300,9224,1.548,0.0
4,领主·Sharp,沉默的爆发,巫恋+海蒂+华法琳,300,9219,1.598,0.0
4,能天使,过载模式,巫恋+濯尘芙蓉+华法琳,300,9209,2.166,4.5
4,涤火杰西卡,饱和迸射,巫恋+灵知+华法琳,300,9197,1.541,0.0
4,灵知,失温症,巫恋+海霓+华法琳,300,9196,1.325,6.0
4,灵知,失温症,初雪+海霓+华法琳,300,9196,1.325,6.0
4,新约能天使,开火成瘾症,初雪+海蒂+灵知,300,9192,1.245,0.0
4,百炼嘉维尔,丛林之魂,初雪+铃兰+华法琳,300,9192,1.655,0.0
4,能天使,过载模式,海蒂+灵知+华法琳,300,9187,2.159,0.0
4,百炼嘉维尔,丛林之魂,巫恋+海蒂+华法琳,300,9186,1.653,0.0
4,领主·Sharp,沉默的爆发,初雪+铃兰+华法琳,300,9182,1.588,0.0
4,新约能天使,开火成瘾症,巫恋+海霓+华法琳,1200,9174,2.536,6.0
4,艾拉,“博萨克风暴”,初雪+海蒂+华法琳,300,9173,1.926,0.0
4,能天使,过载模式,初雪+极境+华法琳,1200,9165,37.93,6.0
4,能天使,过载模式,初雪+引星棘刺+华法琳,1200,9165,37.93,0.0
4,涤火杰西卡,饱和迸射,海蒂+灵知+华法琳,300,9148,1.527,0.0
3,新约能天使,开火成瘾症,初雪+华法琳,300,9144,1.233,0.0
4,新约能天使,开火成瘾症,初雪+塞雷娅+华法琳,300,9144,1.233,6.0
4,新约能天使,开火成瘾症,初雪+华法琳+阿斯卡纶,300,9144,1.233,6.0
4,新约能天使,开火成瘾症,初雪+华法琳+予愿安洁莉娜,300,9144,1.233,6.0
4,新约能天使,开火成瘾症,初雪+华法琳+泥岩,300,9144,1.233,6.0
4,新约能天使,开火成瘾症,初雪+华法琳+和弦,300,9144,1.233,6.0
4,新约能天使,开火成瘾症,初雪+华法琳+夜魔,300,9144,1.233,6.0
4,新约能天使,开火成瘾症,初雪+华法琳+烛煌,300,9144,1.233,7.5
4,新约能天使,开火成瘾症,濯尘芙蓉+灵知+华法琳,300,9140,1.232,4.5
4,能天使,过载模式,凛御银灰+初雪+海蒂,300,9134,2.14,0.0
4,涤火杰西卡,饱和迸射,凛御银灰+初雪+华法琳,300,9124,1.52,0.0
4,领主·Sharp,沉默的爆发,巫恋+铃兰+华法琳,300,9124,1.572,0.0
