value,winner,skill,dps
0,真言,意识联协,3408.7
1,真言,意识联协,3389.1
2,真言,意识联协,3369.6
3,真言,意识联协,3350.0
4,真言,意识联协,3330.4
5,真言,意识联协,3310.8
6,真言,意识联协,3291.2
7,真言,意识联协,3271.7
8,真言,意识联协,3252.1
9,真言,意识联协,3232.5
10,真言,意识联协,3212.9
11,真言,意识联协,3193.4
12,真言,意识联协,3173.8
13,真言,意识联协,3154.2
14,真言,意识联协,3134.6
15,真言,意识联协,3115.1
16,真言,意识联协,3095.5
17,真言,意识联协,3075.9
18,真言,意识联协,3056.3
19,真言,意识联协,3036.7
20,真言,意识联协,3017.2
21,真言,意识联协,2997.6
22,真言,意识联协,2978.0
23,真言,意识联协,2958.4
24,真言,意识联协,2938.9
25,真言,意识联协,2919.3
26,真言,意识联协,2899.7
27,真言,意识联协,2880.1
28,真言,意识联协,2860.6
29,真言,意识联协,2841.0
30,真言,意识联协,2821.4
31,真言,意识联协,2801.8
32,真言,意识联协,2782.3
33,真言,意识联协,2762.7
34,真言,意识联协,2743.1
35,真言,意识联协,2723.5
36,真言,意识联协,2703.9
37,真言,意识联协,2684.4
38,真言,意识联协,2664.8
39,真言,意识联协,2645.2
40,真言,意识联协,2625.6
41,真言,意识联协,2606.1
42,真言,意识联协,2586.5
43,真言,意识联协,2566.9
44,真言,意识联协,2547.3
45,真言,意识联协,2527.8
46,真言,意识联协,2508.2
47,真言,意识联协,2488.6
48,真言,意识联协,2469.0
49,真言,意识联协,2449.5
50,真言,意识联协,2429.9
51,真言,意识联协,2410.3
52,真言,意识联协,2390.7
53,真言,意识联协,2371.1
54,真言,意识联协,2351.6
55,真言,意识联协,2332.0
56,真言,意识联协,2312.4
57,真言,意识联协,2292.8
58,真言,意识联协,2273.3
59,真言,意识联协,2253.7
60,真言,意识联协,2234.1
61,真言,意识联协,2214.5
62,真言,意识联协,2195.0
63,真言,意识联协,2175.4
64,真言,意识联协,2155.8
65,真言,意识联协,2136.2
66,真言,意识联协,2116.7
67,真言,意识联协,2097.1
68,真言,意识联协,2077.5
69,真言,意识联协,2057.9
70,真言,意识联协,2038.3
71,真言,意识联协,2018.8
72,真言,意识联协,1999.2
73,真言,意识联协,1979.6
74,真言,意识联协,1960.0
75,真言,意识联协,1940.5
76,真言,意识联协,1920.9
77,真言,意识联协,1901.3
78,真言,意识联协,1881.7
79,真言,意识联协,1862.2
80,真言,意识联协,1842.6
81,真言,意识联协,1823.0
82,真言,意识联协,1803.4
83,真言,意识联协,1783.9
84,真言,意识联协,1764.3
85,真言,意识联协,1744.7
86,真言,意识联协,1725.1
87,真言,意识联协,1705.5
88,真言,意识联协,1686.0
89,真言,意识联协,1666.4
90,真言,意识联协,1646.8
91,真言,意识联协,1627.2
92,真言,意识联协,1607.7
93,真言,意识联协,1588.1
94,仇白,承影,1580.2
95,仇白,承影,1580.2
96,仇白,承影,1580.2
97,仇白,承影,1580.2
98,仇白,承影,1580.2
99,仇白,承影,1580.2
100,仇白,承影,1580.2
