value,winner,skill,dps
0,圣聆初雪,铃音吹雪,5153.2
1,圣聆初雪,铃音吹雪,5101.7
2,圣聆初雪,铃音吹雪,5050.1
3,圣聆初雪,铃音吹雪,4998.6
4,圣聆初雪,铃音吹雪,4947.1
5,圣聆初雪,铃音吹雪,4895.5
6,圣聆初雪,铃音吹雪,4844.0
7,圣聆初雪,铃音吹雪,4792.5
8,圣聆初雪,铃音吹雪,4740.9
9,圣聆初雪,铃音吹雪,4689.4
10,圣聆初雪,铃音吹雪,4637.9
11,焰狐龙梓兰,龙之箭,4587.8
12,焰狐龙梓兰,龙之箭,4587.8
13,焰狐龙梓兰,龙之箭,4587.8
14,焰狐龙梓兰,龙之箭,4587.8
15,焰狐龙梓兰,龙之箭,4587.8
16,焰狐龙梓兰,龙之箭,4587.8
17,焰狐龙梓兰,龙之箭,4587.8
18,焰狐龙梓兰,龙之箭,4587.8
19,焰狐龙梓兰,龙之箭,4587.8
20,焰狐龙梓兰,龙之箭,4587.8
21,焰狐龙梓兰,龙之箭,4587.8
22,焰狐龙梓兰,龙之箭,4587.8
23,焰狐龙梓兰,龙之箭,4587.8
24,焰狐龙梓兰,龙之箭,4587.8
25,焰狐龙梓兰,龙之箭,4587.8
26,焰狐龙梓兰,龙之箭,4587.8
27,焰狐龙梓兰,龙之箭,4587.8
28,焰狐龙梓兰,龙之箭,4587.8
29,焰狐龙梓兰,龙之箭,4587.8
30,焰狐龙梓兰,龙之箭,4587.8
31,焰狐龙梓兰,龙之箭,4587.8
32,焰狐龙梓兰,龙之箭,4587.8
33,焰狐龙梓兰,龙之箭,4587.8
34,焰狐龙梓兰,龙之箭,4587.8
35,焰狐龙梓兰,龙之箭,4587.8
36,焰狐龙梓兰,龙之箭,4587.8
37,焰狐龙梓兰,龙之箭,4587.8
38,焰狐龙梓兰,龙之箭,4587.8
39,焰狐龙梓兰,龙之箭,4587.8
40,焰狐龙梓兰,龙之箭,4587.8
41,焰狐龙梓兰,龙之箭,4587.8
42,焰狐龙梓兰,龙之箭,4587.8
43,焰狐龙梓兰,龙之箭,4587.8
44,焰狐龙梓兰,龙之箭,4587.8
45,焰狐龙梓兰,龙之箭,4587.8
46,焰狐龙梓兰,龙之箭,4587.8
47,焰狐龙梓兰,龙之箭,4587.8
48,焰狐龙梓兰,龙之箭,4587.8
49,焰狐龙梓兰,龙之箭,4587.8
50,焰狐龙梓兰,龙之箭,4587.8
51,焰狐龙梓兰,龙之箭,4587.8
52,焰狐龙梓兰,龙之箭,4587.8
53,焰狐龙梓兰,龙之箭,4587.8
54,焰狐龙梓兰,龙之箭,4587.8
55,焰狐龙梓兰,龙之箭,4587.8
56,焰狐龙梓兰,龙之箭,4587.8
57,焰狐龙梓兰,龙之箭,4587.8
58,焰狐龙梓兰,龙之箭,4587.8
59,焰狐龙梓兰,龙之箭,4587.8
60,焰狐龙梓兰,龙之箭,4587.8
61,焰狐龙梓兰,龙之箭,4587.8
62,焰狐龙梓兰,龙之箭,4587.8
63,焰狐龙梓兰,龙之箭,4587.8
64,焰狐龙梓兰,龙之箭,4587.8
65,焰狐龙梓兰,龙之箭,4587.8
66,焰狐龙梓兰,龙之箭,4587.8
67,焰狐龙梓兰,龙之箭,4587.8
68,焰狐龙梓兰,龙之箭,4587.8
69,焰狐龙梓兰,龙之箭,4587.8
70,焰狐龙梓兰,龙之箭,4587.8
71,焰狐龙梓兰,龙之箭,4587.8
72,焰狐龙梓兰,龙之箭,4587.8
73,焰狐龙梓兰,龙之箭,4587.8
74,焰狐龙梓兰,龙之箭,4587.8
75,焰狐龙梓兰,龙之箭,4587.8
76,焰狐龙梓兰,龙之箭,4587.8
77,焰狐龙梓兰,龙之箭,4587.8
78,焰狐龙梓兰,龙之箭,4587.8
79,焰狐龙梓兰,龙之箭,4587.8
80,焰狐龙梓兰,龙之箭,4587.8
81,焰狐龙梓兰,龙之箭,4587.8
82,焰狐龙梓兰,龙之箭,4587.8
83,焰狐龙梓兰,龙之箭,4587.8
84,焰狐龙梓兰,龙之箭,4587.8
85,焰狐龙梓兰,龙之箭,4587.8
86,焰狐龙梓兰,龙之箭,4587.8
87,焰狐龙梓兰,龙之箭,4587.8
88,焰狐龙梓兰,龙之箭,4587.8
89,焰狐龙梓兰,龙之箭,4587.8
90,焰狐龙梓兰,龙之箭,4587.8
91,焰狐龙梓兰,龙之箭,4587.8
92,焰狐龙梓兰,龙之箭,4587.8
93,焰狐龙梓兰,龙之箭,4587.8
94,焰狐龙梓兰,龙之箭,4587.8
95,焰狐龙梓兰,龙之箭,4587.8
96,焰狐龙梓兰,龙之箭,4587.8
97,焰狐龙梓兰,龙之箭,4587.8
98,焰狐龙梓兰,龙之箭,4587.8
99,焰狐龙梓兰,龙之箭,4587.8
100,焰狐龙梓兰,龙之箭,4587.8
