value,winner,skill,dps
0,真言,意识联协,1451.1
1,真言,意识联协,1449.3
2,真言,意识联协,1447.6
3,真言,意识联协,1445.8
4,真言,意识联协,1444.0
5,真言,意识联协,1442.1
6,真言,意识联协,1440.3
7,真言,意识联协,1438.3
8,真言,意识联协,1436.4
9,真言,意识联协,1434.4
10,真言,意识联协,1432.4
11,真言,意识联协,1430.3
12,真言,意识联协,1428.2
13,真言,意识联协,1426.0
14,真言,意识联协,1423.8
15,真言,意识联协,1421.6
16,真言,意识联协,1419.3
17,真言,意识联协,1417.0
18,真言,意识联协,1414.6
19,真言,意识联协,1412.2
20,真言,意识联协,1409.7
21,真言,意识联协,1407.1
22,真言,意识联协,1404.5
23,真言,意识联协,1401.9
24,真言,意识联协,1399.2
25,真言,意识联协,1396.4
26,真言,意识联协,1393.6
27,真言,意识联协,1390.7
28,真言,意识联协,1387.7
29,真言,意识联协,1384.7
30,真言,意识联协,1381.5
31,真言,意识联协,1378.3
32,真言,意识联协,1375.1
33,真言,意识联协,1371.7
34,真言,意识联协,1368.3
35,真言,意识联协,1364.8
36,真言,意识联协,1361.2
37,真言,意识联协,1357.5
38,真言,意识联协,1353.6
39,真言,意识联协,1349.7
40,真言,意识联协,1345.7
41,真言,意识联协,1341.6
42,真言,意识联协,1337.4
43,真言,意识联协,1333.0
44,真言,意识联协,1328.5
45,真言,意识联协,1323.9
46,真言,意识联协,1319.1
47,真言,意识联协,1314.2
48,真言,意识联协,1309.2
49,真言,意识联协,1304.0
50,真言,意识联协,1298.6
51,真言,意识联协,1293.0
52,真言,意识联协,1287.3
53,真言,意识联协,1281.4
54,真言,意识联协,1275.3
55,真言,意识联协,1269.0
56,真言,意识联协,1262.4
57,真言,意识联协,1255.6
58,真言,意识联协,1248.6
59,真言,意识联协,1241.3
60,真言,意识联协,1233.8
61,真言,意识联协,1225.9
62,真言,意识联协,1217.8
63,真言,意识联协,1209.3
64,真言,意识联协,1200.5
65,真言,意识联协,1191.3
66,真言,意识联协,1181.7
67,真言,意识联协,1171.7
68,真言,意识联协,1161.3
69,真言,意识联协,1150.4
70,真言,意识联协,1139.0
71,真言,意识联协,1127.1
72,真言,意识联协,1114.6
73,真言,意识联协,1101.4
74,真言,意识联协,1087.6
75,真言,意识联协,1073.1
76,真言,意识联协,1057.8
77,真言,意识联协,1041.6
78,真言,意识联协,1024.6
79,真言,意识联协,1006.5
80,真言,意识联协,987.4
81,真言,意识联协,967.0
82,真言,意识联协,945.4
83,真言,意识联协,922.3
84,真言,意识联协,897.7
85,真言,意识联协,871.3
86,真言,意识联协,843.0
87,真言,意识联协,812.6
88,真言,意识联协,779.7
89,真言,意识联协,744.2
90,真言,意识联协,705.5
91,真言,意识联协,663.5
92,真言,意识联协,617.4
93,真言,意识联协,566.9
94,真言,意识联协,511.0
95,真言,意识联协,449.1
96,真言,意识联协,380.1
97,真言,意识联协,302.5
98,真言,意识联协,214.9
99,真言,意识联协,115.0
