value,winner,skill,dps
0,真言,意识联协,2709.4
1,真言,意识联协,2701.9
2,真言,意识联协,2694.4
3,真言,意识联协,2686.8
4,真言,意识联协,2679.3
5,真言,意识联协,2671.8
6,真言,意识联协,2664.3
7,真言,意识联协,2656.8
8,真言,意识联协,2649.2
9,真言,意识联协,2641.7
10,真言,意识联协,2634.2
11,真言,意识联协,2626.7
12,真言,意识联协,2619.2
13,真言,意识联协,2611.7
14,真言,意识联协,2604.1
15,真言,意识联协,2596.6
16,真言,意识联协,2589.1
17,真言,意识联协,2581.6
18,真言,意识联协,2574.1
19,真言,意识联协,2566.6
20,真言,意识联协,2559.0
21,真言,意识联协,2551.5
22,真言,意识联协,2544.0
23,真言,意识联协,2536.5
24,真言,意识联协,2529.0
25,真言,意识联协,2521.5
26,真言,意识联协,2513.9
27,真言,意识联协,2506.4
28,真言,意识联协,2498.9
29,真言,意识联协,2491.4
30,真言,意识联协,2483.9
31,真言,意识联协,2476.3
32,真言,意识联协,2468.8
33,真言,意识联协,2461.3
34,真言,意识联协,2453.8
35,真言,意识联协,2446.3
36,真言,意识联协,2438.8
37,真言,意识联协,2431.2
38,真言,意识联协,2423.7
39,真言,意识联协,2416.2
40,真言,意识联协,2408.7
41,真言,意识联协,2401.2
42,真言,意识联协,2393.7
43,真言,意识联协,2386.1
44,真言,意识联协,2378.6
45,真言,意识联协,2371.1
46,真言,意识联协,2363.6
47,真言,意识联协,2356.1
48,真言,意识联协,2348.6
49,真言,意识联协,2341.0
50,真言,意识联协,2333.5
51,真言,意识联协,2326.0
52,真言,意识联协,2318.5
53,真言,意识联协,2311.0
54,真言,意识联协,2303.4
55,真言,意识联协,2295.9
56,真言,意识联协,2288.4
57,真言,意识联协,2280.9
58,真言,意识联协,2273.4
59,真言,意识联协,2265.9
60,真言,意识联协,2258.3
61,真言,意识联协,2250.8
62,真言,意识联协,2243.3
63,真言,意识联协,2235.8
64,真言,意识联协,2228.3
65,真言,意识联协,2220.8
66,真言,意识联协,2213.2
67,真言,意识联协,2205.7
68,真言,意识联协,2198.2
69,真言,意识联协,2190.7
70,真言,意识联协,2183.2
71,真言,意识联协,2175.7
72,真言,意识联协,2168.1
73,真言,意识联协,2160.6
74,真言,意识联协,2153.1
75,真言,意识联协,2145.6
76,真言,意识联协,2138.1
77,真言,意识联协,2130.5
78,真言,意识联协,2123.0
79,真言,意识联协,2115.5
80,真言,意识联协,2108.0
81,真言,意识联协,2100.5
82,真言,意识联协,2093.0
83,真言,意识联协,2085.4
84,真言,意识联协,2077.9
85,真言,意识联协,2070.4
86,真言,意识联协,2062.9
87,真言,意识联协,2055.4
88,真言,意识联协,2047.9
89,真言,意识联协,2040.3
90,真言,意识联协,2032.8
91,真言,意识联协,2025.3
92,真言,意识联协,2017.8
93,真言,意识联协,2010.3
94,真言,意识联协,2002.8
95,真言,意识联协,1995.2
96,真言,意识联协,1987.7
97,真言,意识联协,1980.2
98,真言,意识联协,1972.7
99,真言,意识联协,1965.2
100,真言,意识联协,1957.6
