char,skill,dmg_type,profession,rarity,dps@0,dps@150,dps@300,dps@650,dps@1100,dps@2000,dps@4000,dps@8000,peak_dps,peak_def
能天使,扫射模式,physical,SNIPER,5,2283,1899,1515,619,114,114,114,114,2283,0
能天使,过载模式,physical,SNIPER,5,2825,2285,1745,485,141,141,141,141,2825,0
空弦,箭矢·暴风,physical,SNIPER,5,4134,3661,3189,2086,669,207,207,207,4134,0
灰烬,支援射击,physical,SNIPER,5,34,27,21,5,2,2,2,2,34,0
灰烬,攻坚榴弹,physical,SNIPER,5,80,74,68,54,36,4,4,4,80,0
Stormeye,破空,physical,SNIPER,5,702,657,522,207,35,35,35,35,702,0
Stormeye,心手合一,physical,SNIPER,5,15,12,9,2,1,1,1,1,15,0
Stormeye,旋臂,physical,SNIPER,5,650,500,350,32,32,32,32,32,650,0
黑,暮眼锐瞳,physical,SNIPER,5,1317,1242,1167,992,767,317,66,66,1317,0
黑,战术的终结,physical,SNIPER,5,1012,965,918,807,665,381,51,51,1012,0
鸿雪,锐笔速写,physical,SNIPER,5,1523,1416,1309,1059,737,94,76,76,1523,0
焰狐龙梓兰,飞翔瞪射,physical,SNIPER,5,531,510,489,441,378,253,27,27,531,0
远牙,迅捷打击·γ型,physical,SNIPER,5,816,764,712,591,436,125,41,41,816,0
远牙,光羽箭,physical,SNIPER,5,1277,1242,1207,1125,1020,810,343,64,1277,0
蕾缪安,重逢问候,physical,SNIPER,5,1304,1249,1193,1063,897,563,65,65,1304,0
蕾缪安,归乡邀约,physical,SNIPER,5,782,741,700,604,481,233,39,39,782,0
W,红桃K,physical,SNIPER,5,243,234,224,202,174,118,12,12,243,0
W,惊吓盒子,physical,SNIPER,5,389,370,351,307,251,139,19,19,389,0
W,D12,physical,SNIPER,5,265,253,242,215,180,111,13,13,265,0
菲亚梅塔,“你须直面”,physical,SNIPER,5,1121,1041,961,774,534,56,56,56,1121,0
早露,攻击力强化·γ型,physical,SNIPER,5,742,702,662,569,449,209,37,37,742,0
早露,分裂射击,physical,SNIPER,5,826,779,732,623,482,201,41,41,826,0
早露,雪崩击,physical,SNIPER,5,76,69,63,47,28,4,4,4,76,0
提丰,迅捷打击·γ型,physical,SNIPER,5,724,664,604,464,284,36,36,36,724,0
提丰,冰原秩序,physical,SNIPER,5,535,492,450,350,221,27,27,27,535,0
提丰,“永恒狩猎”,physical,SNIPER,5,1646,1533,1420,1156,818,140,82,82,1646,0
迷迭香,末梢阻断,physical,SNIPER,5,416,368,320,208,64,21,21,21,416,0
迷迭香,“如你所愿”,physical,SNIPER,5,533,479,424,297,133,27,27,27,533,0
维什戴尔,饱和复仇,physical,SNIPER,5,494,412,331,141,25,25,25,25,494,0
维什戴尔,爆裂黎明,physical,SNIPER,5,818,794,771,716,645,503,187,41,818,0
假日威龙陈,高压冲击,physical,SNIPER,5,829,763,698,546,350,41,41,41,829,0
假日威龙陈,“堇青之夜”,physical,SNIPER,5,520,474,429,323,186,26,26,26,520,0
假日威龙陈,“假日风暴”,physical,SNIPER,5,987,909,832,650,417,49,49,49,987,0
莱伊,脱身矢,physical,SNIPER,5,1243,1213,1183,1113,1023,843,443,62,1243,0
莱伊,“得见光芒”,physical,SNIPER,5,1753,1695,1637,1503,1330,984,214,88,1753,0
娜仁图亚,旋刃,physical,SNIPER,5,923,833,743,533,263,46,46,46,923,0
