value,winner,skill,dps
0,圣约送葬人,圣约决裁,4180.6
50,圣约送葬人,圣约决裁,4149.5
100,圣约送葬人,圣约决裁,4118.4
150,圣约送葬人,圣约决裁,4087.3
200,圣约送葬人,圣约决裁,4056.2
250,圣约送葬人,圣约决裁,4025.1
300,圣约送葬人,圣约决裁,3994.0
350,圣约送葬人,圣约决裁,3962.9
400,圣约送葬人,圣约决裁,3931.7
450,圣约送葬人,圣约决裁,3900.6
500,圣约送葬人,圣约决裁,3869.5
550,圣约送葬人,圣约决裁,3838.4
600,圣约送葬人,圣约决裁,3807.3
650,圣约送葬人,圣约决裁,3776.2
700,圣约送葬人,圣约决裁,3745.1
750,圣约送葬人,圣约决裁,3714.0
800,圣约送葬人,圣约决裁,3682.9
850,圣约送葬人,圣约决裁,3651.7
900,圣约送葬人,圣约决裁,3620.6
950,圣约送葬人,圣约决裁,3589.5
1000,圣约送葬人,圣约决裁,3558.4
1050,圣约送葬人,圣约决裁,3527.3
1100,圣约送葬人,圣约决裁,3496.2
1150,圣约送葬人,圣约决裁,3465.1
1200,圣约送葬人,圣约决裁,3434.0
1250,圣约送葬人,圣约决裁,3402.9
1300,圣约送葬人,圣约决裁,3371.7
1350,圣约送葬人,圣约决裁,3340.6
1400,圣约送葬人,圣约决裁,3309.5
1450,圣约送葬人,圣约决裁,3278.4
1500,谬因,混沌的本质,3249.0
1550,谬因,混沌的本质,3249.0
1600,谬因,混沌的本质,3249.0
1650,谬因,混沌的本质,3249.0
1700,谬因,混沌的本质,3249.0
1750,谬因,混沌的本质,3249.0
1800,谬因,混沌的本质,3249.0
1850,谬因,混沌的本质,3249.0
1900,谬因,混沌的本质,3249.0
1950,谬因,混沌的本质,3249.0
2000,谬因,混沌的本质,3249.0
2050,谬因,混沌的本质,3249.0
2100,谬因,混沌的本质,3249.0
2150,谬因,混沌的本质,3249.0
2200,谬因,混沌的本质,3249.0
2250,谬因,混沌的本质,3249.0
2300,谬因,混沌的本质,3249.0
2350,谬因,混沌的本质,3249.0
2400,谬因,混沌的本质,3249.0
2450,谬因,混沌的本质,3249.0
2500,谬因,混沌的本质,3249.0
2550,谬因,混沌的本质,3249.0
2600,谬因,混沌的本质,3249.0
2650,谬因,混沌的本质,3249.0
2700,谬因,混沌的本质,3249.0
2750,谬因,混沌的本质,3249.0
2800,谬因,混沌的本质,3249.0
2850,谬因,混沌的本质,3249.0
2900,谬因,混沌的本质,3249.0
2950,谬因,混沌的本质,3249.0
3000,谬因,混沌的本质,3249.0
3050,谬因,混沌的本质,3249.0
3100,谬因,混沌的本质,3249.0
3150,谬因,混沌的本质,3249.0
3200,谬因,混沌的本质,3249.0
3250,谬因,混沌的本质,3249.0
3300,谬因,混沌的本质,3249.0
