value,winner,skill,dps
0,重岳,冲盈,8700.0
100,重岳,冲盈,8400.0
200,重岳,冲盈,8100.0
300,重岳,冲盈,7800.0
400,重岳,冲盈,7500.0
500,重岳,冲盈,7200.0
600,重岳,冲盈,6900.0
700,重岳,冲盈,6600.0
800,重岳,冲盈,6300.0
900,重岳,冲盈,6000.0
1000,重岳,冲盈,5700.0
1100,重岳,冲盈,5400.0
1200,圣聆初雪,铃音吹雪,5153.2
1300,圣聆初雪,铃音吹雪,5153.2
1400,圣聆初雪,铃音吹雪,5153.2
1500,圣聆初雪,铃音吹雪,5153.2
1600,圣聆初雪,铃音吹雪,5153.2
1700,圣聆初雪,铃音吹雪,5153.2
1800,圣聆初雪,铃音吹雪,5153.2
1900,圣聆初雪,铃音吹雪,5153.2
2000,圣聆初雪,铃音吹雪,5153.2
2100,圣聆初雪,铃音吹雪,5153.2
2200,圣聆初雪,铃音吹雪,5153.2
2300,圣聆初雪,铃音吹雪,5153.2
2400,圣聆初雪,铃音吹雪,5153.2
2500,圣聆初雪,铃音吹雪,5153.2
2600,圣聆初雪,铃音吹雪,5153.2
2700,圣聆初雪,铃音吹雪,5153.2
2800,圣聆初雪,铃音吹雪,5153.2
2900,圣聆初雪,铃音吹雪,5153.2
3000,圣聆初雪,铃音吹雪,5153.2
3100,圣聆初雪,铃音吹雪,5153.2
3200,圣聆初雪,铃音吹雪,5153.2
3300,圣聆初雪,铃音吹雪,5153.2
3400,圣聆初雪,铃音吹雪,5153.2
3500,圣聆初雪,铃音吹雪,5153.2
3600,圣聆初雪,铃音吹雪,5153.2
3700,圣聆初雪,铃音吹雪,5153.2
3800,圣聆初雪,铃音吹雪,5153.2
3900,圣聆初雪,铃音吹雪,5153.2
4000,圣聆初雪,铃音吹雪,5153.2
4100,圣聆初雪,铃音吹雪,5153.2
4200,圣聆初雪,铃音吹雪,5153.2
4300,圣聆初雪,铃音吹雪,5153.2
4400,圣聆初雪,铃音吹雪,5153.2
4500,圣聆初雪,铃音吹雪,5153.2
4600,圣聆初雪,铃音吹雪,5153.2
4700,圣聆初雪,铃音吹雪,5153.2
4800,圣聆初雪,铃音吹雪,5153.2
4900,圣聆初雪,铃音吹雪,5153.2
5000,圣聆初雪,铃音吹雪,5153.2
5100,圣聆初雪,铃音吹雪,5153.2
5200,圣聆初雪,铃音吹雪,5153.2
5300,圣聆初雪,铃音吹雪,5153.2
5400,圣聆初雪,铃音吹雪,5153.2
5500,圣聆初雪,铃音吹雪,5153.2
5600,圣聆初雪,铃音吹雪,5153.2
5700,圣聆初雪,铃音吹雪,5153.2
5800,圣聆初雪,铃音吹雪,5153.2
5900,圣聆初雪,铃音吹雪,5153.2
6000,圣聆初雪,铃音吹雪,5153.2
6100,圣聆初雪,铃音吹雪,5153.2
6200,圣聆初雪,铃音吹雪,5153.2
6300,圣聆初雪,铃音吹雪,5153.2
6400,圣聆初雪,铃音吹雪,5153.2
6500,圣聆初雪,铃音吹雪,5153.2
6600,圣聆初雪,铃音吹雪,5153.2
6700,圣聆初雪,铃音吹雪,5153.2
6800,圣聆初雪,铃音吹雪,5153.2
6900,圣聆初雪,铃音吹雪,5153.2
7000,圣聆初雪,铃音吹雪,5153.2
7100,圣聆初雪,铃音吹雪,5153.2
7200,圣聆初雪,铃音吹雪,5153.2
7300,圣聆初雪,铃音吹雪,5153.2
7400,圣聆初雪,铃音吹雪,5153.2
7500,圣聆初雪,铃音吹雪,5153.2
7600,圣聆初雪,铃音吹雪,5153.2
7700,圣聆初雪,铃音吹雪,5153.2
7800,圣聆初雪,铃音吹雪,5153.2
7900,圣聆初雪,铃音吹雪,5153.2
8000,圣聆初雪,铃音吹雪,5153.2
