char_name,profession,sub_profession,rarity,max_hp,atk,def,magic_resistance,base_attack_time,attack_speed_bonus,cost,block_cnt,module_used
阿,SPECIAL,geek,5,2484,828.0,152.0,10.0,1.3,5.0,11.0,1.0,毒医残章
艾拉,SPECIAL,traper,5,1468,755.0,203.0,0.0,0.85,0.0,10.0,1.0,社会期望背包
艾丽妮,WARRIOR,sword,5,2935,804.0,369.0,0.0,1.3,28.0,21.0,2.0,审判官口粮
艾雅法拉,CASTER,corecaster,5,1923,1025.5,122.0,20.0,1.6,0.0,19.0,1.0,“错过的声音”
安洁莉娜,SUPPORT,slower,5,1385,707.0,120.0,25.0,1.9,7.0,14.0,1.0,安洁莉娜特限证章
阿斯卡纶,SPECIAL,stalker,5,1983,1034.0,433.0,30.0,3.5,10.0,19.0,0.0,“阿斯卡纶的眼睛”
百炼嘉维尔,WARRIOR,centurion,5,3106,1054.5,557.8,0.0,1.2,0.0,22.0,3.0,嘉维尔的折磨
白铁,SUPPORT,craftsman,5,2723,703.0,506.0,0.0,1.5,5.0,17.0,2.0,铁钳号·爬行者
贝洛内,WARRIOR,fighter,5,2855,769.0,385.0,0.0,0.78,0.0,9.0,1.0,实用的工具
陈,WARRIOR,sword,5,2880,890.9,515.0,0.0,1.3,0.0,21.0,2.0,往昔时光
澄闪,CASTER,funnel,5,1480,461.0,125.0,20.0,1.3,7.0,20.0,1.0,梦想终将实现
赤刃明霄陈,WARRIOR,artsfghter,5,3330,995.3,425.0,15.0,1.25,16.0,19.0,1.0,记忆残页
斥罪,TANK,unyield,5,4655,1029.0,686.0,10.0,1.6,0.0,34.0,3.0,“无罪”
重岳,WARRIOR,fighter,5,2635,749.0,428.0,0.0,0.78,0.0,9.0,1.0,“朔”
纯烬艾雅法拉,MEDIC,wandermedic,5,1770,552.0,109.0,10.0,2.85,0.0,14.0,1.0,想要留下的生命
淬羽赫默,SUPPORT,blessing,5,2669,592.0,184.0,25.0,1.6,0.0,12.0,1.0,难得清醒
嵯峨,PIONEER,pioneer,5,2205,710.0,416.0,0.0,1.05,0.0,12.0,2.0,何处寻驮？
电弧,SUPPORT,summoner,5,1574,661.2,187.4,20.0,1.6,0.0,10.0,1.0,新起点
涤火杰西卡,TANK,shotprotector,5,3933,693.0,915.7,0.0,1.2,0.0,21.0,3.0,未曾风化
多萝西,SPECIAL,traper,5,1502,763.0,202.0,0.0,0.85,0.0,10.0,1.0,梦中人
菲亚梅塔,SNIPER,aoesniper,5,2041,1086.0,156.0,0.0,2.8,60.0,27.0,1.0,菲亚梅塔特限证章
