char_name,profession,sub_profession,rarity,atk,max_hp,def,magic_resistance,range_size,fragile,def_shred_pct,def_shred_flat,slow,ally_atk_pct,ally_as,control_dur,inspire_pct,inspire_atk,support_score,effects
能天使,SNIPER,fastshot,5,713.4,1840,204.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.4,0.0,
空弦,SNIPER,fastshot,5,1009.5,1705,172.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.5,0.0,
灰烬,SNIPER,fastshot,5,664.0,1889,169.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,664.0,2.0,晕眩3s(覆盖100%); 晕眩4s(覆盖100%)
Stormeye,SNIPER,fastshot,5,650.0,1750,160.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,
黑,SNIPER,closerange,5,1144.8,1833,240.8,0.0,9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1144.8,12.0,减防10%(覆盖100%); 减防20%(覆盖100%)
鸿雪,SNIPER,closerange,5,1066.0,1802,239.0,0.0,9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,12.0,减防18%(覆盖100%); 减防20%(覆盖100%)
焰狐龙梓兰,SNIPER,closerange,5,1274.4,1788,247.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.4,0.0,
远牙,SNIPER,longrange,5,1628.4,1642,163.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628.4,0.0,
蕾缪安,SNIPER,longrange,5,1676.8,1568,175.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.8,0.0,
W,SNIPER,aoesniper,5,1110.7,1805,133.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.7,0.0,
菲亚梅塔,SNIPER,aoesniper,5,1051.0,2041,156.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,
早露,SNIPER,siegesniper,5,1391.0,1755,152.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,0.0,
提丰,SNIPER,siegesniper,5,1249.0,1702,113.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1249.0,1.5,停顿3s(覆盖100%)
迷迭香,SNIPER,bombarder,5,838.0,1944,275.0,15.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,0.0,
维什戴尔,SNIPER,bombarder,5,842.0,1888,256.0,15.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,842.0,0.5,晕眩0.5s(覆盖100%); 晕眩1s(覆盖100%)
假日威龙陈,SNIPER,reaperrange,5,953.0,2681,203.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,0.0,
莱伊,SNIPER,hunter,5,1381.0,2133,228.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.0,0.0,
娜仁图亚,SNIPER,loopshooter,5,810.0,2500,215.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0.0,
推进之王,PIONEER,pioneer,5,709.6,2511,441.7,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.6,0.0,
风笛,PIONEER,charger,5,756.0,2484,402.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0,
嵯峨,PIONEER,pioneer,5,685.0,2205,416.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,
忍冬,PIONEER,pioneer,5,677.0,2300,400.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,
琴柳,PIONEER,bearer,5,654.0,2035,407.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0,脆弱+0%(覆盖43%)
焰尾,PIONEER,pioneer,5,681.0,2138,440.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,0.0,
郁金香,PIONEER,pioneer,5,715.0,2095,418.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0,
伺夜,PIONEER,tactician,5,592.0,1905,154.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,0.0,
缪尔赛思,PIONEER,tactician,5,565.0,1983,185.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,
可露希尔,PIONEER,tactician,5,615.6,1942,176.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.6,0.0,
