char,profession,sub_profession,rarity,effects,合约Boss战_dmg,合约Boss战_time,合约Boss战_surv,日常挂机_dmg,日常挂机_time,日常挂机_surv,高压群怪_dmg,高压群怪_time,高压群怪_surv,合约Boss战_score,日常挂机_score,高压群怪_score
能天使,SNIPER,fastshot,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
空弦,SNIPER,fastshot,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
灰烬,SNIPER,fastshot,5,晕眩3s(覆盖100%); 晕眩4s(覆盖100%),0.0,750.0,0.0,0.0,5000.0,0.0,0.0,6000.0,0.0,0.0417,0.1091,0.12
Stormeye,SNIPER,fastshot,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黑,SNIPER,closerange,5,减防10%(覆盖100%); 减防20%(覆盖100%),44000.0,0.0,0.0,550.0,0.0,0.0,6857.1,0.0,0.0,0.0933,0.0255,0.074
鸿雪,SNIPER,closerange,5,减防18%(覆盖100%); 减防20%(覆盖100%),44000.0,0.0,0.0,550.0,0.0,0.0,6857.1,0.0,0.0,0.0933,0.0255,0.074
焰狐龙梓兰,SNIPER,closerange,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
远牙,SNIPER,longrange,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蕾缪安,SNIPER,longrange,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,SNIPER,aoesniper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
菲亚梅塔,SNIPER,aoesniper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
早露,SNIPER,siegesniper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
提丰,SNIPER,siegesniper,5,停顿3s(覆盖100%),0.0,562.5,0.0,0.0,3750.0,0.0,0.0,4500.0,0.0,0.0312,0.0818,0.09
迷迭香,SNIPER,bombarder,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
维什戴尔,SNIPER,bombarder,5,晕眩0.5s(覆盖100%); 晕眩1s(覆盖100%),0.0,187.5,0.0,0.0,1250.0,0.0,0.0,1500.0,0.0,0.0104,0.0273,0.03
假日威龙陈,SNIPER,reaperrange,5,,0.0,2454.5,0.0,0.0,6136.4,0.0,0.0,5113.6,0.0,0.1364,0.1339,0.1023
莱伊,SNIPER,hunter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
娜仁图亚,SNIPER,loopshooter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
推进之王,PIONEER,pioneer,5,晕眩1.5s(覆盖83%),0.0,234.4,0.0,0.0,1562.5,0.0,0.0,1875.0,0.0,0.013,0.0341,0.0375
风笛,PIONEER,charger,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嵯峨,PIONEER,pioneer,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
忍冬,PIONEER,pioneer,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
琴柳,PIONEER,bearer,5,脆弱+30%(覆盖43%),13043.5,0.0,0.0,2608.7,0.0,0.0,6521.7,0.0,0.0,0.0277,0.1208,0.0704
焰尾,PIONEER,pioneer,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
郁金香,PIONEER,pioneer,5,回费1点,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0002,0.0046,0.0011
伺夜,PIONEER,tactician,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缪尔赛思,PIONEER,tactician,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可露希尔,PIONEER,tactician,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
凛御银灰,PIONEER,counsellor,5,脆弱+30%(覆盖84%); 回费24点,27663.2,0.0,0.0,7452.6,0.0,0.0,15031.6,0.0,0.0,0.0587,0.345,0.1622
伊内丝,PIONEER,agent,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊芙利特,CASTER,blastcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
谬因,CASTER,blastcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
莫斯提马,CASTER,splashcaster,5,友方技力回复+0.2/秒(覆盖100%); 友方技力回复+0.4/秒(覆盖100%),14285.7,0.0,0.0,2857.1,0.0,0.0,7142.9,0.0,0.0,0.0303,0.1323,0.0771
艾雅法拉,CASTER,corecaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
刻俄柏,CASTER,corecaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
霍尔海雅,CASTER,corecaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
逻各斯,CASTER,corecaster,5,减速40%(覆盖67%); 停顿0.8s(覆盖100%),0.0,1240.9,0.0,0.0,3727.3,0.0,0.0,3472.7,0.0,0.0689,0.0813,0.0695
夕,CASTER,splashcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玛露西尔,CASTER,splashcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pith,CASTER,splashcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
异客,CASTER,chain,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
卡涅利安,CASTER,phalanx,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
林,CASTER,phalanx,5,停顿1s(覆盖100%); 晕眩1s(覆盖100%),0.0,375.0,0.0,0.0,2500.0,0.0,0.0,3000.0,0.0,0.0208,0.0545,0.06
