char,profession,rarity,skill,skill_type,score,cycle,burst,survival,support,tier
能天使,SNIPER,5,过载模式,2,0.671,1745,43624,100,0,S
乌尔比安,WARRIOR,5,必须促成的接触,2,0.591,1139,4557,360,0,S
号角,TANK,5,照明榴弹,2,0.449,697,6966,370,0,S
新约能天使,SPECIAL,5,天空大扫除,2,0.444,1110,15977,140,0,S
佩佩,WARRIOR,5,盖戳！,2,0.395,931,4655,180,0,S
铃兰,SUPPORT,5,全力以赴,2,0.362,710,35500,100,23,S
伊芙利特,CASTER,5,炎爆,2,0.239,647,2104,100,0,S
歌蕾蒂娅,SPECIAL,5,缺水的大洋裂断,2,0.232,411,4927,130,20,A
瑕光,TANK,5,光芒涌动,2,0.232,348,1390,240,0,A
予愿安洁莉娜,SPECIAL,5,极速送达,0,0.219,0,76799,165,24,A
泥岩,TANK,5,岩崩锤,2,0.215,0,2310,300,24,A
水月,SPECIAL,5,唤醒,2,0.211,476,9990,130,0,A
阿斯卡纶,SPECIAL,5,追袭,2,0.209,330,5614,120,24,A
薇薇安娜,WARRIOR,5,光影迅捷剑,2,0.204,328,1312,210,0,A
赫德雷,WARRIOR,5,重锋不熄,2,0.185,0,4421,340,0,A
夕,CASTER,5,工笔入化,2,0.178,453,6793,100,0,A
灵知,SUPPORT,5,高速思考,2,0.173,202,809,130,27,A
森蚺,TANK,5,轻型挂斧,0,0.16,0,1208,310,0,A
维娜·维多利亚,WARRIOR,5,重铸晖光,2,0.157,250,1249,180,0,A
风笛,PIONEER,5,高效冲击,2,0.15,303,3636,140,0,A
琳琅诗怀雅,SPECIAL,5,千金一掷,2,0.145,246,1232,160,2,A
望,SPECIAL,5,连星,2,0.143,226,6765,90,20,B
涤火杰西卡,TANK,5,坚守阵线,2,0.142,8,830,280,0,B
星熊,TANK,5,荆棘,0,0.139,0,456,280,0,B
霍尔海雅,CASTER,5,但为求索,2,0.133,275,5781,125,0,B
机械师,TANK,5,聚类分析,2,0.132,0,11147,250,0,B
W,SNIPER,5,惊吓盒子,2,0.131,351,2809,90,0,B
老鲤,SPECIAL,5,小惩大诫,2,0.125,176,1230,160,3,B
斩业星熊,TANK,5,恶业苦果,2,0.12,0,2195,250,0,B
赫拉格,WARRIOR,5,新月,2,0.119,0,1313,250,0,B
信仰搅拌机,TANK,5,铳骑主考官,2,0.119,0,1094,250,0,B
怒潮凛冬,WARRIOR,5,绝不罢休,2,0.117,91,2721,200,0,B
温蒂,SPECIAL,5,炮管敲击,2,0.114,226,1129,130,0,B
耀骑士临光,WARRIOR,5,灿焰长刃,2,0.113,30,1831,220,2,B
黑键,CASTER,5,荒芜回响,2,0.112,254,3302,110,0,B
烛煌,CASTER,5,炙手之援,2,0.112,59,469,130,22,B
左乐,WARRIOR,5,破虏,2,0.112,0,1520,240,0,B
浊心斯卡蒂,SUPPORT,5,同葬无光之愿,2,0.111,10,579,90,40,B
斯卡蒂,WARRIOR,5,跃浪击,0,0.108,0,3393,230,0,B
止颂,WARRIOR,5,强力击·γ型,2,0.108,0,3626,230,0,B
多萝西,SPECIAL,5,危险目标清除,2,0.09,251,3009,80,0,B
煌,WARRIOR,5,链锯延伸模块,2,0.078,22,1522,180,0,B
圣约送葬人,WARRIOR,5,遗嘱执行,2,0.077,0,11518,170,0,B
刻俄柏,CASTER,5,“很冰的斧”,2,0.075,166,2982,100,0,B
银灰,WARRIOR,5,强力击·γ型,2,0.073,0,2719,180,0,B
圣聆初雪,CASTER,5,霜涛覆岭,2,0.072,67,3012,120,7,B
史尔特尔,WARRIOR,5,烈焰魔剑,2,0.072,0,2279,180,0,B
逻各斯,CASTER,5,殁亡,2,0.069,33,1987,100,16,B
艾雅法拉,CASTER,5,点燃,2,0.068,131,1444,110,0,B
艾丽妮,WARRIOR,5,起风,2,0.067,0,1262,175,0,C
陈,WARRIOR,5,鞘击,2,0.065,0,2441,170,0,C
山,WARRIOR,5,左勾扫拳,2,0.064,0,1325,170,0,C
隐德来希,WARRIOR,5,玫影觅迹,2,0.064,0,1143,170,0,C
贝洛内,WARRIOR,5,家主的余裕,2,0.057,0,1562,160,0,C
谬因,CASTER,5,连续映射,2,0.054,86,3022,110,0,C
伊内丝,PIONEER,5,独影归途,0,0.052,0,3204,150,0,C
假日威龙陈,SNIPER,5,高压冲击,2,0.05,0,6424,140,0,C
鸿雪,SNIPER,5,抑扬格,2,0.048,0,3537,100,12,C
黑,SNIPER,5,强弩,2,0.047,0,2218,100,12,C
推进之王,PIONEER,5,跃空锤,2,0.044,0,2112,140,0,C
帕拉斯,WARRIOR,5,胜利的连击,2,0.043,0,1135,140,0,C
溯光星源,SUPPORT,5,星束引力,2,0.038,0,854,90,12,C
缄默德克萨斯,SPECIAL,5,细雨无声,0,0.035,0,16633,100,0,C
玛露西尔,CASTER,5,召唤使魔,2,0.034,30,2123,110,0,C
安洁莉娜,SUPPORT,5,秘杖·速充模式,2,0.028,0,21769,80,0,C
Mon3tr,MEDIC,5,策略：超压链接,2,0.028,0,0,120,0,C
灰烬,SNIPER,5,支援射击,2,0.027,21,927,100,2,C
蕾缪安,SNIPER,5,重逢问候,2,0.025,0,19327,80,0,C
莱伊,SNIPER,5,广域警觉,2,0.024,0,2738,110,0,C
真言,CASTER,5,共鸣溃缩,2,0.024,0,2189,110,0,C
Misery,SPECIAL,5,战争的恭顺,0,0.022,0,11456,90,0,C
弑君者,SPECIAL,5,尘烟蔽目,0,0.022,0,1146,110,0,C
酒神,SUPPORT,5,群体性谵妄,2,0.017,28,686,90,0,C
塑心,SUPPORT,5,“黄金的狂喜”,2,0.016,0,1356,100,0,C
麒麟R夜刀,SPECIAL,5,乱舞,0,0.015,0,894,100,0,C
夜莺,MEDIC,5,法术护盾,2,0.014,0,0,100,0,C
澄闪,CASTER,5,电流翻涌,2,0.01,8,558,90,0,C
空弦,SNIPER,5,箭矢·散逸,2,0.01,0,2021,90,0,C
傀影,SPECIAL,5,血色乐章,0,0.008,0,654,90,0,C
纯烬艾雅法拉,MEDIC,5,无声润物,2,0.007,0,0,90,0,C
闪灵,MEDIC,5,自动掩护,2,0.007,0,0,90,0,C
