char,profession,rarity,skill,skill_type,score,cycle,burst,survival,support,tier
予愿安洁莉娜,SPECIAL,5,酸橙的心事,1,0.756,2596,144101,165,24,S
涤火杰西卡,TANK,5,饱和迸射,1,0.686,2833,130325,280,0,S
史尔特尔,WARRIOR,5,黄昏,1,0.664,2420,157324,180,0,S
佩佩,WARRIOR,5,时光震荡,1,0.525,2204,110190,180,0,S
圣约送葬人,WARRIOR,5,圣约决裁,1,0.485,0,102702,170,0,S
领主·Sharp,WARRIOR,5,沉默的爆发,1,0.454,2365,106444,170,0,S
泥岩,TANK,5,秽壤的血脉,1,0.421,1162,46478,300,24,S
号角,TANK,5,终极防线,1,0.384,1703,57914,370,0,S
斥罪,TANK,5,披荆斩棘,1,0.379,0,56460,310,0,S
圣聆初雪,CASTER,5,群山俯首,1,0.363,2373,102033,120,7,S
百炼嘉维尔,WARRIOR,5,丛林之魂,1,0.359,2473,86549,180,0,S
艾拉,SPECIAL,5,“博萨克风暴”,1,0.357,1206,62692,80,35,S
新约能天使,SPECIAL,5,开火成瘾症,1,0.349,3307,85981,140,0,A
真言,CASTER,5,无言为真,1,0.34,2384,116827,110,0,A
谬因,CASTER,5,混沌的本质,1,0.327,2599,111767,110,0,A
信仰搅拌机,TANK,5,退休前布道,1,0.317,1284,61435,250,0,A
斩业星熊,TANK,5,地狱变相,1,0.315,1372,54871,250,0,A
提丰,SNIPER,5,“永恒狩猎”,1,0.314,1420,94287,90,2,A
灵知,SUPPORT,5,失温症,1,0.311,1836,51408,130,27,A
银灰,WARRIOR,5,真银斩,1,0.306,1443,64946,180,0,A
Sharp,WARRIOR,5,快刀,1,0.298,1201,60032,190,0,A
斯卡蒂,WARRIOR,5,迅捷打击·γ型,1,0.267,1010,55558,230,0,A
森蚺,TANK,5,震慑劈砍,1,0.259,894,27716,310,0,A
凛御银灰,PIONEER,5,御敌的锋锐,1,0.256,273,2181,170,38,A
怒潮凛冬,WARRIOR,5,誓不低头,1,0.255,1303,52136,200,0,A
刻俄柏,CASTER,5,“很重的枪”,1,0.253,1036,88065,100,0,A
鸿雪,SNIPER,5,锐笔速写,1,0.247,1309,54960,100,12,A
乌尔比安,WARRIOR,5,必须开辟的通路,1,0.231,335,10062,360,0,A
望,SPECIAL,5,天下劫,1,0.227,122,44323,90,20,A
烛煌,CASTER,5,众恶的焚场,1,0.227,1649,28861,130,22,A
铃兰,SUPPORT,5,全力以赴,2,0.226,710,35500,100,23,A
逻各斯,CASTER,5,延异视阈,1,0.226,1060,47692,100,16,A
归溟幽灵鲨,SPECIAL,5,生存的渴望,1,0.219,1475,44250,200,0,A
阿斯卡纶,SPECIAL,5,恩赐,1,0.216,520,20782,120,24,A
隐德来希,WARRIOR,5,灵与欲的惜别,1,0.213,1814,50801,170,0,A
黍,TANK,5,嘉禾盈仓,1,0.21,413,12393,260,12,A
早露,SNIPER,5,分裂射击,1,0.209,732,58574,90,0,B
浊心斯卡蒂,SUPPORT,5,同葬无光之愿,2,0.208,10,579,90,40,B
Raidian,SUPPORT,5,信号跃动,1,0.207,549,27431,90,25,B
黑,SNIPER,5,战术的终结,1,0.204,918,34865,100,12,B
年,TANK,5,铜印,1,0.201,10,496,380,0,B
可露希尔,PIONEER,5,Q.E.D.,1,0.195,2009,74340,100,0,B
莱伊,SNIPER,5,“得见光芒”,1,0.194,1638,42573,110,0,B
贝洛内,WARRIOR,5,军师的手段,1,0.193,1983,59500,160,0,B
赫德雷,WARRIOR,5,重锋不熄,2,0.191,0,4421,340,0,B
假日威龙陈,SNIPER,5,“假日风暴”,1,0.191,832,51392,140,0,B
娜仁图亚,SNIPER,5,恶魇,1,0.189,0,51750,130,0,B
机械师,TANK,5,协防术式,1,0.173,875,21536,250,0,B
艾雅法拉,CASTER,5,火山,1,0.168,1347,53875,110,0,B
赤刃明霄陈,WARRIOR,5,赤霄·奔夜,1,0.168,1008,28214,200,0,B
赫拉格,WARRIOR,5,满月,1,0.167,529,18528,250,0,B
玛恩纳,WARRIOR,5,未声张的怒火,1,0.166,312,14040,290,0,B
珊比,TANK,5,“不准走！”,1,0.164,270,19728,270,0,B
歌蕾蒂娅,SPECIAL,5,缺水的掌握怒海,1,0.163,437,10920,130,20,B
弑君者,SPECIAL,5,烽烟行刑场,0,0.163,0,51255,110,0,B
远牙,SNIPER,5,光羽箭,1,0.158,1207,36199,90,0,B
黑键,CASTER,5,寂静之声,1,0.148,1168,46708,110,0,B
棘刺,WARRIOR,5,攻击力强化·γ型,1,0.143,710,31968,170,0,B
司霆惊蛰,WARRIOR,5,浩气长存,1,0.143,0,1233,290,0,B
维什戴尔,SNIPER,5,爆裂黎明,1,0.143,771,29320,110,0,B
丰川祥子,WARRIOR,5,残月的余响,1,0.142,0,32834,160,0,B
推进之王,PIONEER,5,碎颅击,1,0.142,958,28755,140,0,B
帕拉斯,WARRIOR,5,英勇的祝福,1,0.138,834,37520,140,0,B
星熊,TANK,5,力之锯,1,0.138,34,1514,280,0,B
Mechanist,TANK,5,应力倒置,1,0.134,94,5177,260,0,B
空弦,SNIPER,5,箭矢·暴风,1,0.129,0,63778,90,0,B
余,TANK,5,厚礼上宾,1,0.127,96,2496,260,0,B
溯光星源,SUPPORT,5,并流连锁,1,0.125,601,21047,90,12,B
薇薇安娜,WARRIOR,5,“明灭”,1,0.117,506,11140,210,0,B
焰影苇草,MEDIC,5,枯荣共息,1,0.117,44,1280,100,20,B
夕,CASTER,5,写意胜形,1,0.116,421,37860,100,0,B
遥,SUPPORT,5,夏末游鳞,1,0.114,496,23292,155,0,B
止颂,WARRIOR,5,强力击·γ型,2,0.114,0,3626,230,0,B
左乐,WARRIOR,5,行险,1,0.114,114,2157,240,0,B
水月,SPECIAL,5,镜花水月,1,0.113,363,21800,130,0,B
耀骑士临光,WARRIOR,5,逐夜烁光,0,0.112,0,2960,220,2,B
瑕光,TANK,5,光芒涌动,2,0.111,348,1390,240,0,B
菲亚梅塔,SNIPER,5,“你须直面”,1,0.109,0,28832,110,0,B
山,WARRIOR,5,震地碎岩击,1,0.109,495,22274,170,0,B
白铁,SUPPORT,5,高效补给,1,0.103,331,18224,160,0,B
荒芜拉普兰德,CASTER,5,终幕·浩劫,1,0.102,576,32247,100,0,B
Pith,CASTER,5,“为我所为”,1,0.1,577,31716,100,0,B
卡涅利安,CASTER,5,沙缚镣锁,1,0.099,662,26464,120,0,B
缄默德克萨斯,SPECIAL,5,阵雨连绵,0,0.098,0,31198,100,0,B
忍冬,PIONEER,5,隐狐之艺,1,0.098,1620,29164,130,0,B
仇白,WARRIOR,5,问雪,1,0.095,659,26342,150,0,C
能天使,SNIPER,5,过载模式,2,0.094,1745,43624,100,0,C
缇缇,MEDIC,5,旧日绽放,1,0.086,772,26248,100,0,C
风笛,PIONEER,5,闭膛连发,1,0.08,428,14995,140,0,C
阿,SPECIAL,5,爆发剂·榴莲味,1,0.078,867,21666,130,1,C
陈,WARRIOR,5,赤霄·拔刀,1,0.075,0,3983,170,0,C
