char,profession,rarity,skill,skill_type,score,cycle,burst,survival,support,tier
史尔特尔,WARRIOR,5,黄昏,1,0.733,2420,157324,180,0,S
予愿安洁莉娜,SPECIAL,5,酸橙的心事,1,0.732,2596,144101,165,24,S
涤火杰西卡,TANK,5,饱和迸射,1,0.651,2833,130325,280,0,S
真言,CASTER,5,无言为真,1,0.533,2384,116827,110,0,S
佩佩,WARRIOR,5,时光震荡,1,0.526,2204,110190,180,0,S
谬因,CASTER,5,混沌的本质,1,0.512,2599,111767,110,0,S
领主·Sharp,WARRIOR,5,沉默的爆发,1,0.508,2365,106444,170,0,S
圣聆初雪,CASTER,5,群山俯首,1,0.489,2373,102033,120,7,S
圣约送葬人,WARRIOR,5,圣约决裁,1,0.478,0,102702,170,0,S
提丰,SNIPER,5,“永恒狩猎”,1,0.426,1420,94287,90,2,S
百炼嘉维尔,WARRIOR,5,丛林之魂,1,0.425,2473,86549,180,0,S
新约能天使,SPECIAL,5,开火成瘾症,1,0.414,3307,85981,140,0,S
刻俄柏,CASTER,5,“很重的枪”,1,0.397,1036,88065,100,0,A
艾拉,SPECIAL,5,“博萨克风暴”,1,0.368,1206,62692,80,35,A
号角,TANK,5,终极防线,1,0.359,1703,57914,370,0,A
泥岩,TANK,5,秽壤的血脉,1,0.343,1162,46478,300,24,A
可露希尔,PIONEER,5,Q.E.D.,1,0.342,2009,74340,100,0,A
弑君者,SPECIAL,5,烽烟行刑场,0,0.334,0,51255,110,0,A
信仰搅拌机,TANK,5,退休前布道,1,0.332,1284,61435,250,0,A
银灰,WARRIOR,5,真银斩,1,0.325,1443,64946,180,0,A
斥罪,TANK,5,披荆斩棘,1,0.323,0,56460,310,0,A
铃兰,SUPPORT,5,全力以赴,2,0.323,710,35500,100,23,A
灵知,SUPPORT,5,失温症,1,0.319,1836,51408,130,27,A
能天使,SNIPER,5,过载模式,2,0.307,1745,43624,100,0,A
Sharp,WARRIOR,5,快刀,1,0.305,1201,60032,190,0,A
斩业星熊,TANK,5,地狱变相,1,0.304,1372,54871,250,0,A
斯卡蒂,WARRIOR,5,迅捷打击·γ型,1,0.298,1010,55558,230,0,A
贝洛内,WARRIOR,5,军师的手段,1,0.297,1983,59500,160,0,A
鸿雪,SNIPER,5,锐笔速写,1,0.284,1309,54960,100,12,A
空弦,SNIPER,5,箭矢·暴风,1,0.282,0,63778,90,0,A
怒潮凛冬,WARRIOR,5,誓不低头,1,0.275,1303,52136,200,0,A
早露,SNIPER,5,分裂射击,1,0.263,732,58574,90,0,A
逻各斯,CASTER,5,延异视阈,1,0.262,1060,47692,100,16,A
隐德来希,WARRIOR,5,灵与欲的惜别,1,0.262,1814,50801,170,0,A
艾雅法拉,CASTER,5,火山,1,0.253,1347,53875,110,0,A
假日威龙陈,SNIPER,5,“假日风暴”,1,0.249,832,51392,140,0,A
望,SPECIAL,5,天下劫,1,0.248,122,44323,90,20,B
缄默德克萨斯,SPECIAL,5,阵雨连绵,0,0.243,0,31198,100,0,B
娜仁图亚,SNIPER,5,恶魇,1,0.243,0,51750,130,0,B
归溟幽灵鲨,SPECIAL,5,生存的渴望,1,0.241,1475,44250,200,0,B
黑键,CASTER,5,寂静之声,1,0.22,1168,46708,110,0,B
阿斯卡纶,SPECIAL,5,降临,1,0.208,546,30024,120,24,B
烛煌,CASTER,5,众恶的焚场,1,0.208,1649,28861,130,22,B
赫德雷,WARRIOR,5,重锋不熄,2,0.206,0,4421,340,0,B
浊心斯卡蒂,SUPPORT,5,同葬无光之愿,2,0.206,10,579,90,40,B
莱伊,SNIPER,5,“得见光芒”,1,0.205,1638,42573,110,0,B
森蚺,TANK,5,震慑劈砍,1,0.203,894,27716,310,0,B
风笛,PIONEER,5,迅捷打击·γ型,1,0.198,724,39810,140,0,B
安洁莉娜,SUPPORT,5,秘杖·速充模式,2,0.195,0,21769,80,0,B
黑,SNIPER,5,战术的终结,1,0.194,918,34865,100,12,B
Raidian,SUPPORT,5,信号跃动,1,0.189,549,27431,90,25,B
帕拉斯,WARRIOR,5,英勇的祝福,1,0.188,834,37520,140,0,B
蕾缪安,SNIPER,5,重逢问候,2,0.184,0,19327,80,0,B
远牙,SNIPER,5,迅捷打击·γ型,1,0.178,712,39162,90,0,B
黍,TANK,5,离离枯荣,1,0.176,419,18836,260,12,B
夕,CASTER,5,写意胜形,1,0.174,421,37860,100,0,B
棘刺,WARRIOR,5,攻击力强化·γ型,1,0.173,710,31968,170,0,B
赤刃明霄陈,WARRIOR,5,赤霄·天喟,1,0.17,1050,28362,200,0,B
丰川祥子,WARRIOR,5,残月的余响,1,0.17,0,32834,160,0,B
止颂,WARRIOR,5,强力击·γ型,2,0.166,0,3626,230,0,B
耀骑士临光,WARRIOR,5,逐夜烁光,0,0.163,0,2960,220,2,B
瑕光,TANK,5,光芒涌动,2,0.161,348,1390,240,0,B
机械师,TANK,5,协防术式,1,0.156,875,21536,250,0,B
Misery,SPECIAL,5,战争的恭顺,0,0.153,0,11456,90,0,B
忍冬,PIONEER,5,隐狐之艺,1,0.153,1620,29164,130,0,B
荒芜拉普兰德,CASTER,5,终幕·浩劫,1,0.151,576,32247,100,0,B
珊比,TANK,5,“不准走！”,1,0.151,270,19728,270,0,B
推进之王,PIONEER,5,碎颅击,1,0.151,958,28755,140,0,B
Pith,CASTER,5,“为我所为”,1,0.148,577,31716,100,0,B
煌,WARRIOR,5,强力击·γ型,2,0.144,0,2341,180,0,B
维娜·维多利亚,WARRIOR,5,进赴故土,2,0.143,30,2110,180,0,B
维什戴尔,SNIPER,5,爆裂黎明,1,0.143,771,29320,110,0,B
霍尔海雅,CASTER,5,但为求索,2,0.142,275,5781,125,0,B
仇白,WARRIOR,5,问雪,1,0.142,659,26342,150,0,B
老鲤,SPECIAL,5,小惩大诫,2,0.141,176,1230,160,3,B
赫拉格,WARRIOR,5,满月,1,0.14,529,18528,250,0,B
乌尔比安,WARRIOR,5,必须开辟的通路,1,0.139,335,10062,360,0,B
琳琅诗怀雅,SPECIAL,5,“见面礼”,0,0.138,0,1743,160,2,B
伊内丝,PIONEER,5,独影归途,0,0.137,0,3204,150,0,B
菲亚梅塔,SNIPER,5,“你须直面”,1,0.136,0,28832,110,0,B
凛御银灰,PIONEER,5,御敌的锋锐,1,0.135,273,2181,170,38,B
白铁,SUPPORT,5,铁钳号·原型机,1,0.134,534,24028,160,0,B
玛恩纳,WARRIOR,5,未声张的怒火,1,0.133,312,14040,290,0,B
卡涅利安,CASTER,5,沙缚镣锁,1,0.132,662,26464,120,0,B
山,WARRIOR,5,震地碎岩击,1,0.13,495,22274,170,0,B
溯光星源,SUPPORT,5,并流连锁,1,0.129,601,21047,90,12,C
遥,SUPPORT,5,夏末游鳞,1,0.129,496,23292,155,0,C
缇缇,MEDIC,5,旧日绽放,1,0.125,772,26248,100,0,C
阿,SPECIAL,5,爆发剂·榴莲味,1,0.119,867,21666,130,1,C
歌蕾蒂娅,SPECIAL,5,缺水的掌握怒海,1,0.117,437,10920,130,20,C
麒麟R夜刀,SPECIAL,5,空中回旋乱舞,0,0.116,0,2089,100,0,C
多萝西,SPECIAL,5,危险目标清除,2,0.115,251,3009,80,0,C
迷迭香,SNIPER,5,“如你所愿”,1,0.114,424,23330,110,0,C
水月,SPECIAL,5,镜花水月,1,0.114,363,21800,130,0,C
Mon3tr,MEDIC,5,策略：超压链接,2,0.113,0,0,120,0,C
塑心,SUPPORT,5,“黄金的狂喜”,2,0.113,0,1356,100,0,C
傀影,SPECIAL,5,夜幕突袭,0,0.112,0,2085,90,0,C
纯烬艾雅法拉,MEDIC,5,无声润物,2,0.103,0,0,90,0,C
年,TANK,5,锡灼,1,0.103,14,699,380,0,C
莫斯提马,CASTER,5,序时之匙,1,0.099,348,19848,110,0,C
妮芙,CASTER,5,笞心击,1,0.099,966,19986,100,0,C
薇薇安娜,WARRIOR,5,“明灭”,1,0.095,506,11140,210,0,C
Stormeye,SNIPER,5,破空,1,0.094,522,20880,80,0,C
异客,CASTER,5,聚焦指令,1,0.087,339,18651,90,0,C
嵯峨,PIONEER,5,怒目,1,0.083,478,15305,120,0,C
Mechanist,TANK,5,应力倒置,1,0.083,94,5177,260,0,C
令,SUPPORT,5,重进酒,1,0.081,1586,15862,90,0,C
司霆惊蛰,WARRIOR,5,浩气长存,1,0.075,0,1233,290,0,C
酒神,SUPPORT,5,空剧场,1,0.074,548,15444,90,0,C
星熊,TANK,5,力之锯,1,0.073,34,1514,280,0,C
电弧,SUPPORT,5,环形鳞地,1,0.072,1481,13329,90,1,C
澄闪,CASTER,5,澄净闪耀,1,0.071,314,15068,90,0,C
余,TANK,5,厚礼上宾,1,0.071,96,2496,260,0,C
焰影苇草,MEDIC,5,枯荣共息,1,0.063,44,1280,100,20,C
左乐,WARRIOR,5,行险,1,0.063,114,2157,240,0,C
缪尔赛思,PIONEER,5,渐进性润化,1,0.061,344,12045,100,0,C
伊芙利特,CASTER,5,狂热,1,0.061,303,12119,100,0,C
重岳,WARRIOR,5,拂尘,1,0.054,2962,2962,155,0,C
陈,WARRIOR,5,赤霄·拔刀,1,0.047,0,3983,170,0,C
艾丽妮,WARRIOR,5,裂潮,1,0.044,0,2824,175,0,C
娜斯提,SUPPORT,5,栖脚地,1,0.04,59,1360,180,0,C
死芒,CASTER,5,冠死以冕,1,0.04,428,4704,130,0,C
焰尾,PIONEER,5,焰心,1,0.032,221,3975,120,0,C
淬羽赫默,SUPPORT,5,进取之心,1,0.031,21,852,160,0,C
玛露西尔,CASTER,5,爆破魔法,1,0.029,104,4140,110,0,C
温蒂,SPECIAL,5,液氮大炮,1,0.029,127,2667,130,0,C
林,CASTER,5,流光乍裂,1,0.025,48,2390,120,0,C
焰狐龙梓兰,SNIPER,5,飞翔瞪射,1,0.025,489,3523,100,0,C
凯尔希·思衡托,MEDIC,5,应急肃正防线,1,0.023,0,0,150,0,C
麦哲伦,SUPPORT,5,武装打击模块,1,0.022,40,1118,130,0,C
W,SNIPER,5,红桃K,1,0.02,224,3587,90,0,C
灰烬,SNIPER,5,攻坚榴弹,1,0.019,68,1692,100,2,C
琴柳,PIONEER,5,光辉旗帜,1,0.018,72,1662,110,0,C
魔王,SUPPORT,5,明日渺远不及,1,0.013,0,0,120,0,C
郁金香,PIONEER,5,只余芬芳,1,0.013,128,1280,100,0,C
流明,MEDIC,5,沛霖,1,0.01,0,0,110,0,C
引星棘刺,SPECIAL,5,“我的海疆”,1,0.009,95,1141,90,0,C
伺夜,PIONEER,5,领袖的尊严,1,0.008,6,236,100,0,C
夜莺,MEDIC,5,治疗强化·γ型,1,0.007,0,0,100,0,C
闪灵,MEDIC,5,信条,1,0.003,0,0,90,0,C
Touch,MEDIC,5,慨赠,1,0.0,0,0,80,0,C
